"","id","lon","lat","population","schools","jobs","healthcare"
"1","89a901291abffff",-51.1582459466033,-30.0538460280879,0,0,1214,0
"2","89a9012a3cfffff",-51.2118666785315,-30.1005760100267,159,0,0,0
"3","89a901295b7ffff",-51.1652063850268,-30.0754421294718,1008,0,3,1
"4","89a901284a3ffff",-51.205354294738,-30.0900457912324,92,0,0,0
"5","89a9012809bffff",-51.1957537221891,-30.0783872921785,577,0,9,0
"6","89a901285cfffff",-51.2110818953561,-30.0812378652775,1170,0,427,0
"7","89a90e934d7ffff",-51.1470789052615,-30.0034478178153,1615,1,94,0
"8","89a90129b47ffff",-51.1652730059862,-30.0019010778129,142,0,403,0
"9","89a90128a1bffff",-51.2117029901069,-30.021544248826,487,1,603,0
"10","89a90129977ffff",-51.1928406855021,-30.0064977040653,82,0,604,0
"11","89a90128e27ffff",-51.2242774541083,-30.0315722440491,2479,0,1591,0
"12","89a9012a2a3ffff",-51.2061390072645,-30.109379435479,0,0,0,0
"13","89a9012b3b7ffff",-51.1659896574663,-30.0947851050226,0,0,0,0
"14","89a901281dbffff",-51.2074334641189,-30.066299134954,1195,0,47,0
"15","89a90e9341bffff",-51.1468552796186,-29.9979114784123,1190,0,426,0
"16","89a901290b7ffff",-51.1435853839709,-30.0675710875353,807,0,41,0
"17","89a90128363ffff",-51.1913212311583,-30.0440962001926,979,0,243,0
"18","89a9012a39bffff",-51.2181545555919,-30.1055833069944,250,0,0,0
"19","89a901280cfffff",-51.1894654535818,-30.0733788944314,685,0,5,0
"20","89a9012a237ffff",-51.2059147728115,-30.1038568327554,27,0,0,0
"21","89a90129a03ffff",-51.1506148895906,-30.0156405424882,502,0,20,0
"22","89a90129907ffff",-51.196040685191,-30.0103915927284,505,1,460,0
"23","89a90e9244bffff",-51.2016556037074,-29.998809090912,187,0,563,0
"24","89a90129a73ffff",-51.1474145515327,-30.0117500609926,1555,0,658,0
"25","89a90128ad7ffff",-51.2119273506676,-30.0270759346969,1381,0,105,0
"26","89a9012b133ffff",-51.1813205012358,-30.0976391340604,35,0,9,0
"27","89a90129157ffff",-51.1461151796355,-30.0548753240777,804,0,69,0
"28","89a9012852bffff",-51.2197846696673,-30.0707913100726,1622,0,4,1
"29","89a901286dbffff",-51.1657660628833,-30.0892579020896,0,0,0,0
"30","89a9012a32bffff",-51.2205697628831,-30.0901339400088,738,0,119,0
"31","89a90128c6bffff",-51.2306765673225,-30.0393493457984,7,0,0,0
"32","89a9012834bffff",-51.1823930431651,-30.0490182243652,611,0,2,0
"33","89a9012b383ffff",-51.1570592356543,-30.099705388909,10,0,0,0
"34","89a90128187ffff",-51.2225356838554,-30.0636212414869,199,0,2,0
"35","89a9012a163ffff",-51.2361204769094,-30.0985041636885,687,0,204,0
"36","89a90129833ffff",-51.1781850640455,-30.020240217632,701,1,185,0
"37","89a9012859bffff",-51.2173698003216,-30.0862452185914,649,0,107,0
"38","89a90e9348bffff",-51.1500554801607,-30.0018064951993,1089,0,38,0
"39","89a9012848fffff",-51.1994021522086,-30.0933263232861,31,0,0,0
"40","89a9012956bffff",-51.1465626388097,-30.0659343670362,110,0,0,0
"41","89a9012aa83ffff",-51.2411732309886,-30.0731227369023,125,0,0,0
"42","89a90129bb3ffff",-51.1807134622905,-30.0075301763893,576,0,377,0
"43","89a9012aecbffff",-51.2297206896763,-30.0907364372539,1138,1,51,1
"44","89a90129c3bffff",-51.1758806707621,-30.0384729070386,507,0,687,0
"45","89a90129d23ffff",-51.1996885772447,-30.0253443153004,339,0,357,0
"46","89a90128113ffff",-51.2163603273224,-30.0613754249033,1086,0,441,0
"47","89a9012ae07ffff",-51.241622251327,-30.0841723669291,612,0,45,0
"48","89a90128687ffff",-51.1808726000195,-30.0865892978073,610,0,1,0
"49","89a90129e8bffff",-51.1516213848909,-30.0405336258381,672,0,90,0
"50","89a90129d0fffff",-51.1937368706158,-30.0286291236098,2370,0,176,0
"51","89a901298d7ffff",-51.169480367673,-30.0306931272407,234,0,74,0
"52","89a9012b063ffff",-51.1512171210789,-30.1057450899831,39,0,9,0
"53","89a90129e67ffff",-51.1510620112002,-30.0267041480517,200,0,337,1
"54","89a9012988fffff",-51.1754330029964,-30.0274094133285,227,0,233,0
"55","89a90128543ffff",-51.2078816277313,-30.077353418178,1011,0,191,0
"56","89a9012a307ffff",-51.2207938030308,-30.0956565270433,443,0,7,0
"57","89a9012b11bffff",-51.1723909047607,-30.1025559432109,109,0,21,0
"58","89a90128293ffff",-51.1772242862529,-30.0716497282117,1617,1,19,1
"59","89a90128257ffff",-51.1677352359188,-30.0627459724721,450,0,140,1
"60","89a90129acbffff",-51.1416846341788,-30.0205643387276,1026,1,123,0
"61","89a9012b313ffff",-51.1538585212208,-30.095815121275,21,0,0,0
"62","89a901282c7ffff",-51.1709357449763,-30.0666359233155,766,0,24,0
"63","89a90128043ffff",-51.1862653008612,-30.0694894007081,21,1,100,0
"64","89a9012ae77ffff",-51.2384223216435,-30.0802886689433,460,0,13,0
"65","89a9012866bffff",-51.1681828682065,-30.0738049225635,1062,1,43,0
"66","89a90128a8bffff",-51.2149025901277,-30.0254376668158,328,0,587,0
"67","89a9012b1a3ffff",-51.1845210409857,-30.1015242167561,9,0,0,0
"68","89a90128617ffff",-51.1776723542449,-30.082699603075,0,0,0,0
"69","89a90128007ffff",-51.1983935226275,-30.0684564031579,477,0,50,0
"70","89a90128c2fffff",-51.2428012784296,-30.0383122677216,0,0,NA,NA
"71","89a901282abffff",-51.1798647829871,-30.0617146831035,635,0,3,0
"72","89a901283d3ffff",-51.188905170298,-30.059558686591,365,0,14,0
"73","89a90129d93ffff",-51.1972729759206,-30.0408160180995,1335,1,419,0
"74","89a90129dc7ffff",-51.1909850539648,-30.0357986325917,893,0,142,0
"75","89a90128e0fffff",-51.2153510557244,-30.0364965029297,58,0,0,0
"76","89a9012a14fffff",-51.2301695033595,-30.1017860814489,694,1,344,0
"77","89a9012ae5bffff",-51.2265206855842,-30.0868524525933,1765,0,6,1
"78","89a9012a377ffff",-51.2175939866634,-30.0917723269518,429,0,0,0
"79","89a90129ed3ffff",-51.1456678253065,-30.043816260657,814,0,36,0
"80","89a9012884bffff",-51.2240530444204,-30.0260405854137,90,0,4152,1
"81","89a9012aa47ffff",-51.2316864607831,-30.0642281251457,1226,0,117,0
"82","89a90128437ffff",-51.2051301448641,-30.084518658289,670,0,17,0
"83","89a9012a167ffff",-51.239095810376,-30.0968608478133,756,0,55,0
"84","89a90129bb7ffff",-51.1836892771408,-30.0058880964147,232,0,114,0
"85","89a9012992bffff",-51.1958166012359,-30.004859862481,446,0,699,0
"86","89a9012b347ffff",-51.1475689765401,-30.0908047311288,60,0,89,0
"87","89a9012845bffff",-51.1840730883308,-30.0904743990512,126,0,0,0
"88","89a9012913bffff",-51.1550453733762,-30.0499557586483,1206,0,19,0
"89","89a9012b32fffff",-51.159476661414,-30.0842480771056,0,0,0,0
"90","89a90128077ffff",-51.1951935146145,-30.0645716364353,1919,0,205,1
"91","89a90129903ffff",-51.1930649413764,-30.0120339505149,372,0,513,0
"92","89a90128433ffff",-51.2021539643587,-30.0861612101566,117,0,2,0
"93","89a90128e63ffff",-51.212151413993,-30.0326076159357,3036,1,509,0
"94","89a9012999bffff",-51.1934008760081,-30.0203315428478,973,0,212,0
"95","89a9012ac4bffff",-51.2480215653097,-30.091939520554,0,0,0,0
"96","89a90128577ffff",-51.2168088087472,-30.0724296823201,735,0,9,0
"97","89a90129973ffff",-51.1898650043988,-30.0081399902015,1526,0,597,0
"98","89a901291afffff",-51.1612225418203,-30.0522044622911,833,0,2015,0
"99","89a9012841bffff",-51.1932257865287,-30.0910794357027,303,0,0,0
"100","89a90129587ffff",-51.159252806982,-30.0787208535917,1471,0,0,0
"101","89a9012816bffff",-51.209848422413,-30.0508363339917,1852,0,214,0
"102","89a90129d7bffff",-51.1875610809883,-30.0263774225251,1970,1,637,0
"103","89a90129dafffff",-51.2028884807597,-30.0292380238171,317,0,2257,0
"104","89a901299cfffff",-51.1871131504304,-30.0153139520357,572,0,1159,0
"105","89a90129cdbffff",-51.1641990386541,-30.0505628290785,1266,0,35,1
"106","89a901290b3ffff",-51.1406083615908,-30.069212252423,91,0,0,0
"107","89a901299a7ffff",-51.2051916053232,-30.0110003405468,369,1,1933,0
"108","89a90128473ffff",-51.1930016597615,-30.085552280877,930,0,3,1
"109","89a9012848bffff",-51.1964259287401,-30.0949642321592,18,0,0,0
"110","89a9012917bffff",-51.145891486064,-30.0493435387963,669,1,95,0
"111","89a90129153ffff",-51.1431382540024,-30.0565165483872,820,0,4,0
"112","89a90e934bbffff",-51.1560083354961,-29.9985236478668,416,0,308,0
"113","89a90128ad3ffff",-51.2089516984666,-30.0287186481376,1143,1,1509,1
"114","89a9012aadbffff",-51.2290475048421,-30.0741596764441,907,1,35,0
"115","89a9012852fffff",-51.2227600979356,-30.0691483588744,1027,0,14,0
"116","89a90129b83ffff",-51.1747612138412,-30.0108141349132,402,1,58,0
"117","89a9012b00fffff",-51.1544180471429,-30.1096309031091,183,0,2,0
"118","89a901289d7ffff",-51.2543637166247,-30.023449589709,281,0,0,1
"119","89a901284a7ffff",-51.2083302135339,-30.0884031680778,484,0,45,0
"120","89a90128507ffff",-51.2200089497264,-30.0763184268155,238,0,0,0
"121","89a90128117ffff",-51.2193358662145,-30.0597370616628,891,0,180,0
"122","89a90129b13ffff",-51.1715610566327,-30.0069197270856,303,0,130,0
"123","89a9012b387ffff",-51.1600362470924,-30.098063857565,0,0,0,0
"124","89a90128abbffff",-51.2208534029028,-30.0221519038735,0,0,2,0
"125","89a90129e4fffff",-51.1421320852741,-30.031627968165,573,1,81,0
"126","89a9012b1d7ffff",-51.1726149016103,-30.1080831221328,62,0,0,0
"127","89a901298d3ffff",-51.1665042266531,-30.0323348827498,335,0,111,0
"128","89a901282c3ffff",-51.167959204768,-30.0682777059948,896,0,22,0
"129","89a9012a3b3ffff",-51.2270818141948,-30.1006633998318,523,0,39,0
"130","89a90128047ffff",-51.189241257144,-30.0678517176899,1298,1,54,0
"131","89a90129d27ffff",-51.2026642922108,-30.0237063225134,785,0,2191,0
"132","89a90128403ffff",-51.1962019472001,-30.0894415986234,117,0,1,1
"133","89a9012866fffff",-51.1711595696503,-30.0721631355739,1391,0,22,1
"134","89a90128c6fffff",-51.2336515260421,-30.0377061450135,420,1,38,0
"135","89a9012910bffff",-51.1490920069027,-30.0532340323001,1174,2,52,0
"136","89a90128647ffff",-51.1684068823315,-30.0793321335912,475,1,26,1
"137","89a90129a8fffff",-51.1538151607077,-30.019535455649,1321,0,60,1
"138","89a90128547ffff",-51.210857459603,-30.0757152483381,1011,0,95,0
"139","89a90128c47ffff",-51.2309007316002,-30.044880981003,454,0,716,0
"140","89a9012a14bffff",-51.2271938635409,-30.103424683308,972,0,15,0
"141","89a9012816fffff",-51.2128240796497,-30.049198115958,520,0,634,0
"142","89a90128d6fffff",-51.2544761077005,-30.0262153914844,277,0,16,0
"143","89a90129943ffff",-51.1839133474226,-30.0114243606955,2304,0,158,0
"144","89a90128147ffff",-51.2100727563227,-30.0563679985667,19,0,59,0
"145","89a90129c53ffff",-51.1639753309969,-30.0450355855597,946,1,53,2
"146","89a901283bbffff",-51.2008092977336,-30.0529982797727,991,0,120,0
"147","89a901298a3ffff",-51.1813852532895,-30.0241299423401,675,0,2295,0
"148","89a9012b2a7ffff",-51.1450394388188,-30.1034959422491,115,0,0,0
"149","89a901299cbffff",-51.1841371118992,-30.0169561080145,2196,0,570,0
"150","89a90129d0bffff",-51.1907611938779,-30.0302714263747,1386,0,107,0
"151","89a90128003ffff",-51.1954177090799,-30.0700988048409,1742,0,3,0
"152","89a90128c2bffff",-51.2398261300016,-30.0399556751435,0,0,0,0
"153","89a90129d97ffff",-51.2002488584254,-30.0391735697473,1245,0,548,0
"154","89a9012802bffff",-51.1981694913033,-30.0629292386841,537,0,4,0
"155","89a901283d7ffff",-51.1918814263577,-30.0579164296386,964,1,97,0
"156","89a9012b173ffff",-51.1721669422521,-30.0970332713756,89,0,0,0
"157","89a9012b1a7ffff",-51.1874973338422,-30.0998865779325,772,0,15,0
"158","89a90128ebbffff",-51.2216382873087,-30.0415082081372,3004,0,348,0
"159","89a90129513ffff",-51.1530756543787,-30.0764720702895,10,0,0,0
"160","89a9012127bffff",-51.2547580557972,-30.1079901171603,996,0,250,0
"161","89a90129873ffff",-51.1690328018138,-30.0196295965791,323,0,52,0
"162","89a901288d7ffff",-51.2335393841917,-30.0349448399908,2770,0,353,0
"163","89a90129bdbffff",-51.162632621818,-30.0118449444714,226,0,777,0
"164","89a9012a35bffff",-51.2056905651942,-30.0983342248886,0,0,0,0
"165","89a901285a7ffff",-51.2291595738482,-30.0769209692531,948,0,38,1
"166","89a90129c83ffff",-51.1763284365312,-30.0495318679605,348,0,0,0
"167","89a9012aa9bffff",-51.2381979805833,-30.0747615906564,0,0,0,0
"168","89a90129dabffff",-51.1999126048381,-30.0308760210385,1438,0,215,0
"169","89a9012a373ffff",-51.2146181120526,-30.0934106465843,598,0,15,0
"170","89a9012a3a7ffff",-51.2299452399156,-30.0962590055461,636,0,242,0
"171","89a90129e37ffff",-51.1603275193338,-30.0300819047711,889,0,29,0
"172","89a9012831bffff",-51.1916574596894,-30.0523892439743,967,0,439,0
"173","89a90128573ffff",-51.2138331834629,-30.0740724989735,630,1,64,0
"174","89a9012ae37ffff",-51.247572440926,-30.0808899284027,101,0,60,0
"175","89a90128a5bffff",-51.2025520459368,-30.0209404701801,947,0,638,0
"176","89a90129dc3ffff",-51.1880091179851,-30.0374408724539,1490,0,252,0
"177","89a901298a7ffff",-51.184361227002,-30.0224878497429,600,0,1655,0
"178","89a9012aacfffff",-51.2319107363648,-30.0697552248869,186,0,602,1
"179","89a90129cb7ffff",-51.1852572967296,-30.0446102539251,960,0,473,0
"180","89a90129117ffff",-51.1552692459609,-30.0554830142047,11,0,0,0
"181","89a9012b2b3ffff",-51.1421739778252,-30.1078984946113,143,0,22,0
"182","89a9012a267ffff",-51.196650270262,-30.1004913722831,0,0,0,0
"183","89a9012992fffff",-51.1987920859626,-30.0032174418676,365,0,1275,0
"184","89a90128073ffff",-51.1922174307045,-30.0662094546185,987,0,48,0
"185","89a901280a7ffff",-51.2075452564957,-30.0690649641885,601,2,230,0
"186","89a90129b87ffff",-51.1777372251677,-30.0091721895207,1184,0,234,0
"187","89a90129a9bffff",-51.1509502209658,-30.0239382485802,437,0,249,0
"188","89a901299b3ffff",-51.2023278975437,-30.0154087611533,736,1,566,1
"189","89a9012ae8fffff",-51.24184680777,-30.0896994302966,683,0,45,0
"190","89a9012b15bffff",-51.1632369438459,-30.1019494604184,44,0,1,0
"191","89a90129d57ffff",-51.1877850861766,-30.03190915006,1530,0,137,0
"192","89a9012985bffff",-51.1601037467128,-30.0245501246131,307,0,48,0
"193","89a90129b07ffff",-51.1744252386986,-30.002511966318,23,0,84,0
"194","89a90129d63ffff",-51.1905370276779,-30.0247397032296,661,1,692,0
"195","89a90128467ffff",-51.1958658539298,-30.0811531267092,404,0,7,0
"196","89a9012881bffff",-51.2333150996249,-30.0294132015866,172,0,4358,1
"197","89a90129e63ffff",-51.1480853594487,-30.0283454889637,869,0,122,1
"198","89a901281abffff",-51.2223112967675,-30.0580941189431,797,1,291,0
"199","89a90128393ffff",-51.1980573280525,-30.0601679108816,549,0,133,0
"200","89a901288c7ffff",-51.2334272385242,-30.0321790214345,3539,0,1173,0
"201","89a90129c93ffff",-51.1764406396714,-30.0522977327195,0,0,0,0
"202","89a90128e57ffff",-51.2094001688393,-30.0397775011068,3162,0,751,0
"203","89a90129123ffff",-51.1580222298585,-30.0483142641572,2344,0,37,1
"204","89a90129517ffff",-51.1560523693494,-30.0748351374728,95,0,2,0
"205","89a90129cc7ffff",-51.1701520690549,-30.0472838722925,972,1,44,0
"206","89a9012a17bffff",-51.2331450341331,-30.1001429001053,716,0,209,0
"207","89a90129bcbffff",-51.1625205291799,-30.0090790496851,1082,0,107,0
"208","89a901283c7ffff",-51.1917694440396,-30.0551550935697,1367,0,122,0
"209","89a90128893ffff",-51.2397141272741,-30.0371898644413,257,1,65,0
"210","89a90129c57ffff",-51.1669518925202,-30.0433938888277,684,0,62,0
"211","89a90e924d3ffff",-51.2081671169415,-30.0093577094161,75,0,423,0
"212","89a90129a37ffff",-51.1595442683003,-30.0107206519976,916,0,2271,1
"213","89a9012acc3ffff",-51.2544209089552,-30.0997063495537,289,0,7,0
"214","89a9012998fffff",-51.1962644717702,-30.0159233183155,1152,0,377,0
"215","89a90129e0fffff",-51.1512859354541,-30.0322359427828,744,0,149,1
"216","89a9012a32fffff",-51.2235451062692,-30.0884909741101,1002,1,59,1
"217","89a90129d4bffff",-51.1816092339776,-30.0296616832924,703,0,765,0
"218","89a90128013ffff",-51.1955298118986,-30.0728601310011,614,0,39,0
"219","89a9012952bffff",-51.1557167528956,-30.0665420225914,449,0,14,0
"220","89a90128643ffff",-51.1654302378563,-30.0809693448081,1177,0,66,0
"221","89a90129947ffff",-51.1868892250396,-30.0097822090827,581,0,398,0
"222","89a901298bbffff",-51.1784091812701,-30.0257719676282,409,0,135,0
"223","89a901293a7ffff",-51.1426908915664,-30.0454529646316,561,0,34,0
"224","89a9012a277ffff",-51.1967621222532,-30.1032526847971,134,0,4,0
"225","89a90128c3bffff",-51.2399384527789,-30.0427169717256,0,0,NA,NA
"226","89a901284d3ffff",-51.1904735196882,-30.0982443594887,237,1,32,0
"227","89a90129cabffff",-51.1790810358172,-30.0423626754278,864,0,738,0
"228","89a901295b3ffff",-51.1622298109939,-30.0770837811777,1071,2,232,1
"229","89a9012aa53ffff",-51.2288230524746,-30.068632575304,372,0,11,0
"230","89a90129a1bffff",-51.1476382360031,-30.0172818753114,574,1,126,0
"231","89a90129c6bffff",-51.1666161351079,-30.0351007642569,198,0,18,0
"232","89a901294b3ffff",-51.1413913400601,-30.0885599167054,24,0,0,0
"233","89a9012aa6fffff",-51.2344370856451,-30.0570578046687,0,0,0,0
"234","89a9012ae33ffff",-51.2445974009448,-30.0825334373723,290,0,50,0
"235","89a90129c87ffff",-51.1793049350523,-30.0478944053237,206,0,92,0
"236","89a9012884fffff",-51.227028051865,-30.0244020442707,0,0,178,0
"237","89a901282dbffff",-51.1649825586094,-30.0699149090108,873,0,11,0
"238","89a90129a07ffff",-51.1535914449644,-30.0139991422725,686,0,174,0
"239","89a90128367ffff",-51.1942973103464,-30.0424538864304,1167,0,275,0
"240","89a90e9348fffff",-51.1530319569049,-30.000165105212,626,0,81,0
"241","89a90129c6fffff",-51.1695923566803,-30.0334590065955,361,0,81,0
"242","89a90129547ffff",-51.1467860801688,-30.0714616250814,230,0,0,0
"243","89a90129877ffff",-51.1720088465456,-30.0179877819238,870,0,205,0
"244","89a9012a3a3ffff",-51.2269694472759,-30.0979021156275,823,0,82,0
"245","89a90128037ffff",-51.2043455118831,-30.0651759090702,420,0,28,0
"246","89a9012b2b7ffff",-51.1451511573893,-30.1062573012929,95,0,0,0
"247","89a901288d3ffff",-51.230564171198,-30.0365835268272,1994,1,860,1
"248","89a9012834fffff",-51.1853690932961,-30.0473761130412,1662,0,128,0
"249","89a9012a2a7ffff",-51.2091148509756,-30.1077413099406,93,0,110,0
"250","89a901669a7ffff",-51.14112578502,-30.0067302605329,13,0,239,0
"251","89a90129e03ffff",-51.1513977453718,-30.0350018384146,740,0,95,0
"252","89a9012ae9bffff",-51.2389837632932,-30.0940995728689,3150,0,101,0
"253","89a90129b03ffff",-51.1714493706386,-30.0041538379218,200,0,105,0
"254","89a90129cc3ffff",-51.1671757688523,-30.0489256403038,992,0,164,0
"255","89a9012a1a3ffff",-51.2485831213428,-30.1057503536153,1407,0,129,0
"256","89a90129e1bffff",-51.1484208518392,-30.0366431856785,343,0,55,0
"257","89a90e934cbffff",-51.1409021576378,-30.0011939130686,118,0,60,0
"258","89a901283a3ffff",-51.2037848360122,-30.0513557540509,1864,1,104,0
"259","89a9012995bffff",-51.1809373715455,-30.0130664450266,566,0,254,0
"260","89a9012aecfffff",-51.2326962226184,-30.0890932644435,2379,0,14,0
"261","89a90128513ffff",-51.2171453265072,-30.0807226178292,1192,0,48,0
"262","89a9012a1bbffff",-51.2456076700395,-30.1073893705336,1005,0,82,0
"263","89a90129b9bffff",-51.1717851042761,-30.0124560129984,733,0,602,0
"264","89a9012824bffff",-51.1615582388702,-30.0604975801158,1405,0,16,0
"265","89a90128e23ffff",-51.2213018735812,-30.0332152353314,1103,0,65,0
"266","89a9012ae03ffff",-51.2386470141409,-30.0858157414749,773,1,138,0
"267","89a901285a3ffff",-51.2261843448532,-30.0785640634477,966,0,15,0
"268","89a90129bcfffff",-51.1654970158867,-30.007437379626,705,0,205,0
"269","89a9012b353ffff",-51.1447039914904,-30.0952073455891,109,0,0,0
"270","89a9012988bffff",-51.1724567344912,-30.0290513039591,270,0,137,0
"271","89a9012a22bffff",-51.199738263297,-30.1016147697709,0,0,0,0
"272","89a9012a343ffff",-51.2086664014492,-30.096691595559,0,0,0,0
"273","89a90e924d7ffff",-51.2111425302611,-30.0077150110816,0,0,17,0
"274","89a90128397ffff",-51.2010334499924,-30.0585254475318,96,0,228,0
"275","89a90128613ffff",-51.1746957708417,-30.0843415353093,165,0,0,0
"276","89a9012ae6bffff",-51.2322471952322,-30.078043608713,159,0,30,1
"277","89a9012844fffff",-51.1869371623077,-30.0860709291487,350,0,0,0
"278","89a90129acfffff",-51.1446614841999,-30.018923140729,370,0,25,0
"279","89a90128e0bffff",-51.2123755041713,-30.0381392920201,478,1,1042,0
"280","89a901280dbffff",-51.1866012058656,-30.0777824268214,866,0,0,0
"281","89a90129a33ffff",-51.1565679021267,-30.0123576746777,863,1,316,0
"282","89a90128897ffff",-51.2426888711527,-30.0355464599056,0,0,0,0
"283","89a9012a273ffff",-51.1937862071643,-30.1048905319561,27,0,0,0
"284","89a9012aacbffff",-51.2289354322016,-30.0713938701267,838,0,410,0
"285","89a90128297ffff",-51.1802007730323,-30.0700077368194,544,0,9,0
"286","89a901283afffff",-51.2036728469118,-30.0485899140889,1323,0,318,0
"287","89a9012817bffff",-51.2099605860075,-30.0536021669237,377,0,92,0
"288","89a90128c53ffff",-51.2280378391295,-30.0492854242813,99,0,3153,0
"289","89a9012998bffff",-51.1932888911353,-30.0175656800224,586,0,385,0
"290","89a9012aa6bffff",-51.2314618880654,-30.0587010208143,333,0,97,0
"291","89a90128a8fffff",-51.2178780457046,-30.0237948189443,151,0,1018,0
"292","89a90129577ffff",-51.1527399626416,-30.0681834616428,501,0,2,0
"293","89a90129e33ffff",-51.1573509205552,-30.0317234542708,1177,0,19,0
"294","89a9012952fffff",-51.1586934519157,-30.0649050283271,116,0,40,0
"295","89a9012837bffff",-51.1883453777124,-30.0457384461718,892,0,214,0
"296","89a901281afffff",-51.2252869632022,-30.0564556206647,1828,0,153,0
"297","89a90128e53ffff",-51.2064244205685,-30.0414201557119,0,0,236,2
"298","89a90e926d7ffff",-51.1895290868994,-29.9998423724721,59,1,632,0
"299","89a9012a317ffff",-51.2209059953728,-30.0984178183569,79,0,23,0
"300","89a9012827bffff",-51.1675113011238,-30.0572187460633,1240,0,222,0
"301","89a901282afffff",-51.1828409377811,-30.0600771431003,9,0,0,0
"302","89a9012a06bffff",-51.2122028847405,-30.1088644120094,473,0,31,0
"303","89a901282b7ffff",-51.1860412922058,-30.0639622144417,692,0,314,1
"304","89a90129abbffff",-51.1567914549925,-30.0178939841865,707,0,115,0
"305","89a90129d33ffff",-51.1998007497499,-30.0281101685668,655,1,1008,0
"306","89a9012ae13ffff",-51.2387590408726,-30.0885770202891,851,1,114,1
"307","89a901298cfffff",-51.166280105447,-30.0268031162988,0,0,83,0
